assertions	Climate Change	 Vegetarian & Vegan Lifestyle	Black Lives Matter	Creationism in school curricula	Foreign Aid	Gender Equality	Gun Rights	Legalization of Marijuana	Legalization of Same-sex Marriage	Mandatory Vaccination	Media Bias	Obama Care -- Affordable Health Care Act	US Engagement in the Middle East	US Electoral System	US Immigration	War on Terrorism
23	0.7596613612048762	0.7259401142299753	0.8696512688161995	0.7029905345373875	0.43651461081257675		0.8444401269090321	0.13909192346983157	0.7100820669260384	0.8425170226880256	0.8052490294778113	0.7482390913386966	0.4904650662217186	0.5857484306545832	0.7618501768164754	0.7523234903752357
24	0.7622884798537398	0.7200565066896807	0.87197331075238	0.7058548000639712	0.4589123971000628		0.8479057138312064	0.14688878670082517	0.7110868058067857	0.8465986583931656	0.8110996315636824	0.749216819639853	0.493866320489277	0.5944170676759846	0.7664499490825812	0.7600156845025011
25	0.7682701552295688	0.7185377592194151	0.8718476790321893	0.705202592666609	0.4638143018981483		0.8501313235047052	0.14620689437510756	0.7094896556642851	0.8424397241693601	0.8148998617705607	0.7551448119790494	0.5089888641527773	0.6010267148200003	0.774509839242116	0.7624580364090063
26	0.7683072223037499	0.7296750088316174	0.8746404248411754	0.7138721329648255	0.4801358416662938		0.8493598096578057	0.1625536363441412	0.7091786490283014	0.845816966897951	0.8133118695996328	0.7551192256810975	0.5115054902766999	0.6038543665281729	0.7859284992881258	0.7642010058164098
27	0.7732040753866882	0.7263001223785561	0.8736260816634691	0.7160315463329635	0.4904459882156907		0.8500435621894429	0.16465875597307192	0.7099704226333907	0.848104281455128	0.8186765053725416	0.7598367757882658	0.5198663673404971	0.5996525545011486	0.7868630519598769	0.76926554236674
28	0.7713461099955607	0.7345441979459917	0.8771998306256018	0.7155388879621601	0.5040404505651724		0.8516980494057864	0.17999976529232337	0.7179034299348823	0.8456472220549073	0.8226644139285945	0.7645263033503396	0.5367549787452875	0.6133175421099037	0.7884052563384474	0.7741211536211678
29	0.7754069569430067	0.7357705199684219	0.8776567733864755	0.71702698360038	0.5069465472536094		0.8498520374277525	0.19165532458469908	0.7203218060969163	0.8469793530534346	0.82461146214091	0.7653057445475469	0.5444762600970959	0.6115802445289884	0.7926635947031248	0.7779479435647577
30	0.778607652298077	0.7368907369919675	0.8798953527916387	0.7224525017629071	0.515522747852659		0.8502632341162302	0.18948688484966902	0.7161471039148102	0.8482674578106106	0.8217174191196224	0.7687223388454749	0.5569195433765182	0.6110599916110592	0.7980229189173936	0.7832513466203345
31	0.7800781382377612	0.7333499714125151	0.8798869466341651	0.7255187451831637	0.5357179566679254		0.8504686596880171	0.20474111298135927	0.7164481256039167	0.8509031501850046	0.8237165152004007	0.7733502049861721	0.565815700747286	0.6122009162982669	0.8067810727411965	0.7915955832371617
32	0.7818644128160253	0.7316801841124245	0.8801812241380629	0.7246479947771187	0.5424366455252672		0.8514062047242317	0.1984896557195119	0.7196309096083208	0.8533091011283732	0.8278143635839185	0.7779278355110947	0.5696076618496939	0.6199353387277311	0.8165625164728879	0.7923003971594385
33	0.7828993706987688	0.7288666156708301	0.8822661320862492	0.7260467285869296	0.5393540267625909		0.852702276088582	0.18346469729574574	0.7191286249335336	0.8556305292574853	0.8283150453899248	0.7805623629717349	0.568113451531739	0.6193639122501771	0.8156015614630696	0.7952622649793052
34	0.783299965339517	0.7249059115788639	0.8844247818637995	0.7233351763989374	0.5435377544258951		0.8528899712423175	0.2012023296595431	0.7207202077116306	0.8563701470148728	0.8336067790179473	0.7818746479269704	0.5755492777811612	0.6285346552188942	0.8153250759887126	0.7969472538223635
35	0.7841238428023641	0.719989466349	0.8831483671830808	0.7271745767323328	0.5461714567347328		0.8539963132427264	0.19922350853646706	0.7245545812115585	0.8569796221149304	0.839546092815513	0.7850923205950529	0.5684136775002667	0.6227926649442651	0.8135322082946493	0.793227740571495
36	0.7827778523132677	0.720215196782053	0.883978219073462	0.724819494324771	0.5462679955418236		0.8534196240633892	0.19179367159568617	0.7250013154897973	0.8566169023724948	0.8346982465240003	0.7861003224710758	0.577431644756902	0.618447902882711	0.8099379753083337	0.7940838766557192
37	0.7842260864090693	0.7207531601839937	0.8833571473989097	0.7298448226455898	0.5455221258065411		0.8535817298039601	0.18733979562242775	0.7208100466275077	0.857040585831298	0.8349890534262444	0.7884497248427188	0.5968038334980599	0.623566891687731	0.8123604945822737	0.7938718766819328
38	0.7882420274064307	0.7219415780563715	0.8835767253007596	0.7313844659883305	0.5468077715137342		0.8509085630906407	0.20057308926795248	0.7242522038300236	0.8579352998970651	0.8358997412765599	0.7858326947245511	0.6033762462382575	0.6295320029185257	0.808323516571484	0.795206636289201
39	0.7929483245979304	0.713074407274137	0.8854744999534431	0.728949950611666	0.547624184705721		0.8530515941023047	0.19203686994936198	0.7288024608118613	0.8562320968067457	0.8343169544164122	0.7872546033847563	0.6027772413533645	0.6288767926751199	0.8051466532873139	0.7983999044259854
40	0.7960106924574474	0.7113713414343339	0.8862134402874957	0.7314522338386082	0.5494427965190737		0.8520413676202577	0.20244382106407796	0.7252550340022973	0.8571738438728239	0.8359797350667019	0.791481944103992	0.6089990176490057	0.6257358005518814	0.8038514617367667	0.8042664634448119
41	0.7989079205987952	0.7127894748954896	0.8868552693051441	0.729932556446481	0.5457281415959745		0.8526174587291604	0.20424912662597428	0.7254183841386724	0.855809603339547	0.8362823528195328	0.7914310930942496	0.6071216815689835	0.6268932109099279	0.8089481613517926	0.8036943464091476
42	0.803092971489101	0.7152077046927823	0.8877879775113188	0.7283939141560972	0.5480163835198041		0.8530186298521878	0.2097478431623935	0.7254664343463375	0.8574850644163529	0.8356888032800123	0.7914264549371571	0.6060077189194071	0.6237265714367618	0.8114284492563895	0.8032151143240223
43	0.8042292079449718	0.7132000656263529	0.8898777112523917	0.7282735039159574	0.5516113478828871		0.8521702580869345	0.21211170514887442	0.727467341373544	0.8561853846012792	0.8306679722433956	0.7944215328042845	0.6068892316492137	0.627323092990495	0.816163933536199	0.8031253974482717
44	0.8048762888346201	0.7110112398129586	0.8890003560211344	0.7323042391584097	0.5615909456388969		0.8528622625192511	0.21876455659086724	0.7269605259022959	0.8529257169040377	0.8306812295059588	0.795795990375982	0.624018775310325	0.6265915391631864	0.8145576064160568	0.8029858032881153
45	0.8063294052282878	0.7049373134498773	0.8902036927207797	0.7312948398240666	0.5651326474083742		0.8553725117252126	0.22665042527650564	0.7279306830328134	0.8531914834189928	0.8294100955160664	0.7935044878447434	0.6280465068419003	0.636146753574181	0.8191008390222776	0.8029965487234075
46	0.8093897584369638	0.7044900315889123	0.8907898419015204	0.7345651250063017	0.5606306405833802		0.856655808175922	0.22404874299367872	0.7301510090580903	0.8534358434427339	0.8276597771040188	0.7953016345410828	0.6338394289271496	0.639129014291902	0.81566553887587	0.8088903631362266
47	0.8131773884771569	0.7050074040368053	0.8909655018474313	0.7372657357169643	0.5578309453430272		0.8553557650312716	0.22252486056162601	0.732053966785759	0.8526459496474521	0.8301258134339585	0.7981376923181146	0.63451302176629	0.6416034562400995	0.8104785869576592	0.8080456822058171
48	0.813656063364676	0.6979847856244257	0.8901539188935732	0.7386623192216858	0.5556129558894292		0.8554302688638966	0.23956467306237406	0.7344364414349414	0.853581539729531	0.8321700712098968	0.7978954146105973	0.6325679249520026	0.64177073561744	0.8099111482269069	0.8090158555631438
49	0.8123445289071533	0.6960289749592486	0.889773867202374	0.7427722924558989	0.5576367115531665		0.8544568727805083	0.2421958447451405	0.737363622696115	0.8530524680032032	0.8329298244022266	0.7971122055893441	0.6335515977318977	0.640654277768245	0.8075731718222167	0.8080971529518255
50	0.8110637455147969	0.6974409301397372	0.8899511177183324	0.7408846210946362	0.5542255927325589		0.8565766288328442	0.25064193832483	0.7400000764322006	0.8543430305727973	0.8324680818170622	0.795337819940488	0.6329946634678894	0.6387120473051227	0.8103927216673614	0.8084633010456128
